"Eccentricity"	"Invaginations"	"Circularity"	"Solidity"	"MNC"	"STD_Curvature"	"Tortuosity"	"Minor_Axis_Length"	"Mean_Curvature"	"Major_Axis_Length"	"Perimeter"	"Area"	"BPintensity.gamma"	"meanIntensity.gamma"	"stdIntensity.gamma"	"BPintensity.progerin"	"meanIntensity.progerin"	"stdIntensity.progerin"	"BPintensity.lamin"	"meanIntensity.lamin"	"stdIntensity.lamin"
0.824418	2	1.23877	0.85752	0.0397373	0.158939	0.000875454	14.864	-0.0350753	26.2624	74.6313	274.318	16.3407	15.8477	6.79775	158.896	167.694	47.9271	265.919	260.398	61.1246
0.699705	2	1.0766	0.955774	0.00306808	0.0805809	0.000241731	12.3522	-0.0551503	17.2895	48.0338	161.366	13.1677	13.1003	6.07536	148.97	148.514	36.4486	264.157	245.234	51.0431
0.561298	0	1.0172	0.972043	0	0.0326822	5.20965e-05	14.1317	-0.0534538	17.0752	49.1969	187.256	30.2764	33.5465	20.6488	210.846	219.655	55.3664	260.811	248.405	43.2047
0.610834	2	1.0527	0.958264	0.00148961	0.0649086	0.000213577	15.7229	-0.045918	19.8582	57.5411	240.468	101.401	103.035	64.2887	307.936	293.819	86.8449	287.561	264.312	54.2133
0.513766	1	1.03029	0.968864	0.000430547	0.0439896	0.00012535	15.5976	-0.0486503	18.1805	54.496	223.425	13.9124	13.5331	17.0668	176.535	179.809	43.6157	212.425	204.272	41.7879
0.590801	1	1.03635	0.953964	8.03486e-05	0.0564748	0.000131093	12.74	-0.0577947	15.7904	45.6454	155.565	34.6003	39.6381	46.0289	134.292	132.614	24.9312	233.397	227.477	36.8367
0.51096	0	1.02558	0.964088	0	0.0461564	0.000122074	12.6888	-0.0599187	14.7612	44.0735	147.731	12.1758	13.0287	5.44189	161.684	166.387	54.99	289.022	275.662	44.9791
0.694012	0	1.04043	0.967164	0	0.0543889	0.00010361	11.1863	-0.0620578	15.5373	42.5226	134.641	13.9239	14.3765	9.2261	169.6	189.346	65.1711	281.998	280.843	46.1432
0.660775	1	1.05384	0.956107	0.00165858	0.0639291	0.000185087	14.2579	-0.0495084	18.9958	53.4973	207.718	240.91	228.996	75.9491	199.393	213.479	63.2356	297.778	289.257	42.2
0.768506	2	1.12284	0.935599	0.0127361	0.101887	0.000485905	13.5493	-0.0455673	21.176	58.3671	218.777	61.1767	68.9809	51.2598	221.569	238.08	88.0307	381.871	372.868	80.6599
0.901792	3	1.35154	0.798236	0.0356624	0.143721	0.000488759	14.0152	-0.0317855	32.4297	82.7417	303.355	25.8837	27.0483	31.7503	188.888	197.696	56.8457	287.069	271.543	48.5668
0.602137	0	1.03303	0.967391	0	0.0452199	0.000104204	12.3339	-0.0595623	15.4484	44.3917	148.354	22.9827	25.4438	19.2858	201.811	211.584	62.2339	295.085	284.5	52.4467
0.950509	0	1.05102	0.2555	0	0.052327	0.00012924	14.7426	-0.0596417	47.4501	44.5489	145.327	26.6297	23.5222	24.3776	246.34	258.703	87.843	287.787	271.369	57.082
0.614746	1	1.04878	0.953623	0.00288317	0.0701883	0.000237272	11.8671	-0.0612891	15.0459	43.0946	135.428	21.3175	21.1003	12.1474	175.502	185.863	59.4863	315.804	311.927	65.0885
0.769056	2	1.08699	0.94235	0.00260203	0.0776147	0.000214506	12.1426	-0.0524868	18.997	50.4722	176.063	26.104	27.7741	42.3211	156.694	159.588	37.2056	269.269	263.106	54.8046
0.483455	0	1.02128	0.969014	0	0.0304852	7.2628e-05	12.686	-0.0608888	14.4922	43.5301	144.994	19.7217	22.6279	18.9875	204.485	199.16	57.6966	336.9	312.288	71.2128
0.705232	1	1.05528	0.96368	0.000361363	0.0596399	0.000113458	12.344	-0.0553901	17.411	47.8175	166.437	171.132	172.07	71.0785	206.193	224.487	80.3476	376.935	361.312	69.9479
0.811719	2	1.13259	0.928131	0.0029881	0.0853166	0.000238308	12.0668	-0.0492078	20.6607	54.1979	190.76	11.8419	12.0951	5.25427	150.531	152.095	28.1266	206.657	201.396	50.0703
0.729451	1	1.07591	0.943396	0.00107935	0.0694984	0.00026969	12.1491	-0.0544809	17.7609	48.6157	165.822	18.307	17.775	8.64646	205.359	207.59	44.7651	257.604	239.367	50.2078
0.71296	0	1.05876	0.963255	0	0.0624421	0.000165469	11.7873	-0.057883	16.8101	45.7223	151.549	19.0055	20.7139	30.645	207.741	226.174	72.7005	283.194	278.995	78.387
0.739922	0	1.05222	0.968085	0	0.0565152	8.81202e-05	9.90606	-0.0664405	14.726	39.7455	116.071	53.1169	51.1722	39.668	184.399	192.403	59.766	313.603	300.374	53.266
0.460472	1	1.05214	0.952191	0.00375303	0.0669377	0.00026934	15.1783	-0.050594	17.099	52.6468	199.689	11.151	10.931	4.28266	187.801	181.619	51.152	235.898	224.956	42.6316
0.672048	0	1.05056	0.95641	0	0.0568109	0.000150545	12.1795	-0.0576038	16.4475	46.1306	155.658	26.8583	30.6783	38.3493	177.049	184.617	45.1734	309.136	294.949	57.8663
0.65335	1	1.04225	0.953815	0.00151695	0.0582477	0.00019646	13.8908	-0.0509341	18.3485	51.7669	198.22	108.681	114.724	43.6651	174.696	176.722	32.0197	241.211	230.213	34.149
0.648471	0	1.05088	0.961446	0	0.0643593	0.000167746	12.8332	-0.0548435	16.8583	48.1849	169.569	13.605	13.2907	5.21456	187.772	204.346	59.6767	275.047	250.326	51.4892
0.363921	0	1.01747	0.980603	0	0.0353745	7.88355e-05	15.0572	-0.0531311	16.1657	49.7008	190.26	41.5682	41.3055	26.3508	164.139	172.316	48.6169	282.195	266.141	57.0359
0.60379	0	1.02964	0.961219	0	0.0453606	0.000105855	12.1643	-0.0603656	15.2599	43.7437	144.761	64.5406	79.2882	63.0974	203.962	205.3	45.3376	353.074	338.55	67.5965
0.664678	1	1.05031	0.964286	0.000164751	0.069204	0.000202254	10.9707	-0.0637839	14.6838	41.3284	124.871	32.9238	34.6263	32.8343	195.747	196.606	71.4666	262.185	260.141	41.3971
0.654621	0	1.03504	0.965839	0	0.0457642	9.22447e-05	11.2114	-0.0633997	14.8307	41.6583	130.515	39.7191	35.6785	39.9525	181.537	187.331	47.5226	246.623	239.402	33.6215
0.326501	0	1.0369	0.956929	0	0.0543619	0.000129841	16.163	-0.0494674	17.1001	53.6376	213.942	117.803	108.834	43.3344	190.826	205.55	69.2268	310.458	298.591	76.3991
0.572873	0	1.03118	0.954869	0	0.0438757	0.000136595	13.2772	-0.0560812	16.1987	47.2211	168.01	10.6788	10.1965	4.54226	159.094	173.226	49.4407	232.051	226.224	42.4232
0.811303	1	1.10593	0.958904	0.00380017	0.0797318	0.000185171	11.5267	-0.052009	19.7164	50.8229	174.219	235.235	219.91	79.3246	189.314	207.812	68.0976	268.394	265.883	54.2084
0.523113	0	1.01147	0.983914	0	0.0270277	3.69444e-05	12.9324	-0.0589003	15.1742	44.691	155.791	23.1409	26.3161	25.5103	168.478	177.202	37.5226	244.104	235.954	31.252
0.722914	0	1.07061	0.956989	0	0.0656911	0.000188763	12.883	-0.0517846	18.6456	51.2344	185.611	64.0401	53.9236	62.8555	222.888	228.944	55.5146	226.601	220.879	55.5367
0.563163	0	1.01983	0.970326	0	0.0343237	6.06425e-05	12.0208	-0.0623099	14.547	42.3339	137.921	22.3911	23.1009	11.5782	141.478	138.067	38.2842	237.772	226.309	54.3268
0.78394	0	1.09072	0.977723	0	0.0704341	0.000166499	11.4853	-0.0543837	18.4997	48.7393	165.465	19.8263	22.5443	20.9593	252.409	278.937	100.08	259.01	250.42	58.3016
