"Eccentricity"	"Invaginations"	"Circularity"	"Solidity"	"MNC"	"STD_Curvature"	"Tortuosity"	"Minor_Axis_Length"	"Mean_Curvature"	"Major_Axis_Length"	"Perimeter"	"Area"	"BPintensity.gamma"	"meanIntensity.gamma"	"stdIntensity.gamma"	"BPintensity.progerin"	"meanIntensity.progerin"	"stdIntensity.progerin"	"BPintensity.lamin"	"meanIntensity.lamin"	"stdIntensity.lamin"
0.627422	0	1.02629	0.981567	0	0.0427729	4.99305e-05	13.3152	-0.0545287	17.0997	48.2465	177.602	17.3024	16.1244	17.4668	23.2783	22.9507	3.67502	485.606	449.305	59.1225
0.788364	0	1.06869	0.963816	0	0.0680123	0.000104669	9.82716	-0.0635442	15.9737	41.3623	123.182	14.335	15.5836	12.756	19.9623	19.0922	3.44055	489.652	460.573	105.315
0.571879	0	1.02052	0.974596	0	0.0349881	5.7039e-05	13.6062	-0.0546405	16.5861	48.181	178.489	16.4977	18.6066	9.87219	9.92255	10.0332	3.1868	473.672	435.391	108.035
0.774952	0	1.06157	0.973913	0	0.0620025	8.24963e-05	10.6515	-0.0598437	16.8531	43.9327	140.333	7.59061	8.0119	3.26901	8.09019	7.75	2.18748	475.447	435.384	91.119
0.596778	0	1.01779	0.984177	0	0.0348256	5.20237e-05	11.5468	-0.0639689	14.3902	41.106	130.656	16.5366	16.4309	37.1621	31.7459	30.2476	4.74985	615.678	565.341	99.9176
0.615079	0	1.01671	0.979899	0	0.0259945	1.75735e-05	15.6694	-0.0467986	19.8733	56.1779	244.696	14.3336	21.2974	25.6019	53.4252	53.5316	7.1806	351.883	328.674	52.3296
0.523889	0	1.01515	0.972056	0	0.0307848	4.75583e-05	14.8778	-0.0513508	17.4666	51.2404	203.627	17.7915	20.9815	34.3727	13.4826	12.885	2.80049	660.647	598.283	98.5677
0.754731	2	1.13204	0.937173	0.0139485	0.097381	0.00025307	16.3433	-0.0381859	24.9122	68.7731	301.808	7.61705	8.50279	4.60389	7.45649	7.3757	1.95399	568.779	524.61	66.8415
0.572541	0	1.01664	0.97973	0	0.0308649	4.36873e-05	15.9239	-0.0470561	19.4223	55.8523	241.497	20.9005	18.0724	32.3256	13.5086	12.8534	2.95579	897.35	788.857	145.286
0.493507	0	1.01318	0.978261	0	0.0306165	3.78915e-05	13.7239	-0.0564472	15.7793	46.5945	168.913	18.3386	16.9926	25.0707	26.225	25.2444	3.36949	530.307	476.919	86.8585
0.805518	0	1.07628	0.963964	0	0.0675921	9.52933e-05	10.079	-0.0604992	17.0088	43.4064	134.617	10.478	11.0156	4.12194	16.4972	16.3645	3.56298	538.404	494.769	100.903
0.561131	0	1.01337	0.964	0	0.0294699	2.99443e-05	10.3211	-0.0738053	12.4692	35.6168	98.8537	9.60805	9.34025	4.31765	16.1435	15.7593	4.07024	507.01	475.635	85.0337
0.742143	0	1.05026	0.974937	0	0.0549075	7.04104e-05	11.7946	-0.0559483	17.5976	46.9315	162.62	15.4117	15.7249	6.58833	6.36415	6.19023	1.77026	550.522	506.118	86.3917
0.578269	0	1.01961	0.980488	0	0.0321896	3.48877e-05	16.2107	-0.0458393	19.8698	57.3758	253.611	29.8281	36.9154	49.375	24.5198	23.8872	3.95286	558.891	496.03	94.1608
0.539866	0	1.0101	0.978355	0	0.0248509	2.51576e-05	14.2374	-0.0533124	16.914	49.2398	189.78	11.8752	13.1261	5.40054	10.78	10.7522	2.8128	675.097	605.071	110.263
0.620409	0	1.02049	0.986339	0	0.0343573	4.30274e-05	12.295	-0.0593763	15.6769	44.3484	151.495	16.5991	15.795	25.795	13.4293	12.5568	2.38694	586.034	539.366	98.0932
0.841931	0	1.14318	0.938547	0	0.0974126	0.000347124	7.02127	-0.0811804	13.0124	33.2102	70.6438	81.3533	78.4702	39.0252	7.09408	7.10714	2.30863	159.544	162.494	52.4535
0.525035	0	1.02047	0.977419	0	0.0440771	8.12204e-05	11.7899	-0.0647463	13.8528	40.6121	126.756	11.7438	12.1122	5.58089	11.3784	11.1353	3.30435	550.097	513.251	94.0606
0.664817	0	1.03078	0.977778	0	0.0405719	6.4005e-05	13.2394	-0.0532742	17.7232	49.4664	185.313	15.0501	15.9045	5.62374	25.2993	25.0455	5.20931	519.795	477.055	79.171
